     0 0 0    0    0    0           0.000000	    0.0000	   195	    A+   
     0 0 0    1    0    1          23.794352	    0.0000	   620	    A+   
     0 0 0    1    1    0          42.371737	    0.0098	   562	    A+   
     0 0 0    1    1    1          37.137121	    0.3025	   541	    A+   
     0 0 0    2    0    2          70.090809	    0.7111	   771	    A+   
     0 0 0    2    1    1          95.175936	    0.4915	   732	    A+   
     0 0 0    2    1    2          79.496382	    4.9444	   1014	    A+   
     0 0 0    2    2    0         136.163927	    1.1240	   722	    A+   
     0 0 0    2    2    1         134.901639	    2.4631	   872	    A+   
     0 0 0    3    0    3         136.761664	    4.9261	   1095	    A+   
     0 0 0    3    1    2         173.365806	    0.0644	   1104	    A+   
     0 0 0    3    1    3         142.278493	    0.0050	   989	    A+   
     0 0 0    3    2    1         212.156356	    0.0840	   1180	    A+   
     0 0 0    3    2    2         206.301430	    1.6471	   970	    A+   
     0 0 0    3    3    0         285.418572	    1.6420	   877	    A+   
     0 0 0    3    3    1         285.219344	    0.9331	   740	    A+   
     0 0 0    4    0    4         222.052775	    4.9261	   979	    A+   
     0 0 0    4    1    3         275.497051	    0.7044	   947	    A+   
     0 0 0    4    1    4         224.838375	    0.0047	   1249	    A+   
     0 0 0    4    2    2         315.779538	    0.9843	   1020	    A+   
     0 0 0    4    2    3         300.362279	    0.0050	   1303	    A+   
     0 0 0    4    3    1         383.842516	    2.4384	   915	    A+   
     0 0 0    4    3    2         382.516895	    2.3886	   1184	    A+   
     0 0 0    4    4    0         488.134170	    3.4508	   607	    A+   
     0 0 0    4    4    1         488.107690	    1.1465	   790	    A+   
     0 0 0    5    0    5         325.347895	    4.9261	   1182	    A+   
     0 0 0    5    1    4         399.457508	    2.4563	   1249	    A+   
     0 0 0    5    1    5         326.625470	    0.0074	   996	    A+   
     0 0 0    5    2    3         446.510659	    0.2303	   1304	    A+   
     0 0 0    5    2    4         416.208738	    0.4086	   1086	    A+   
     0 0 0    5    3    2         508.812044	    0.0096	   1296	    A+   
     0 0 0    5    3    3         503.968094	    0.0098	   1031	    A+   
     0 0 0    5    4    1         610.341136	    4.2941	   1088	    A+   
     0 0 0    5    4    2         610.114417	    4.0990	   829	    A+   
     0 0 0    5    5    0         742.076227	    8.4935	   655	    A+   
     0 0 0    5    5    1         742.072983	   15.4956	   440	    A+   
     0 0 0    6    0    6         446.696595	    4.8993	   877	    A+   
     0 0 0    6    1    5         542.905776	    2.4144	   927	    A+   
     0 0 0    6    1    6         447.252341	    0.0098	   1164	    A+   
     0 0 0    6    2    4         602.773490	    0.0098	   997	    A+   
     0 0 0    6    2    5         552.911382	    1.6346	   1268	    A+   
     0 0 0    6    3    3         661.548894	    0.0959	   944	    A+   
     0 0 0    6    3    4         648.978661	    0.2475	   1307	    A+   
     0 0 0    6    4    2         757.780146	    0.0099	   869	    A+   
     0 0 0    6    4    3         756.724721	    0.0049	   1108	    A+   
     0 0 0    6    5    1         888.632621	    2.4236	   583	    A+   
     0 0 0    6    5    2         888.598611	   18.8267	   847	    A+   
     0 0 0    6    6    0        1045.058273	    4.4499	   361	    A+   
     0 0 0    6    6    1        1045.057842	    4.4881	   484	    A+   
     0 0 0    7    0    7         586.243530	    4.9261	   1028	    A+   
     0 0 0    7    1    6         704.214033	    2.4563	   1134	    A+   
     0 0 0    7    1    7         586.479180	    4.8020	   772	    A+   
     0 0 0    7    2    5         782.409818	    0.4827	   1150	    A+   
     0 0 0    7    2    6         709.608193	    0.5239	   929	    A+   
     0 0 0    7    3    4         842.356535	    0.9721	   1080	    A+   
     0 0 0    7    3    5         816.694196	    2.3561	   868	    A+   
     0 0 0    7    4    3         931.236989	    0.3499	   1057	    A+   
     0 0 0    7    4    4         927.743871	    0.1457	   746	    A+   
     0 0 0    7    5    2        1059.835344	    0.0050	   859	    A+   
     0 0 0    7    5    3        1059.646587	    0.0099	   589	    A+   
     0 0 0    7    6    1        1216.194361	    4.3559	   632	    A+   
     0 0 0    7    6    2        1216.189692	    4.0045	   413	    A+   
     0 0 0    7    7    0        1394.814123	   19.5712	   382	    A+   
     0 0 0    7    7    1        1394.814082	   31.8236	   255	    A+   
     0 0 0    8    0    8         744.063655	    4.9261	   674	    A+   
     0 0 0    8    1    7         882.890326	    4.3019	   713	    A+   
