0 0 0 0 0 0 	0.000000000		0.000000000	18
0 0 0 1 0 1 	0.978116167		0.000001667	5
0 0 0 2 0 2 	2.934327019		0.000010000	2
0 0 0 3 0 3 	5.868573959		0.000010000	4
0 0 0 4 0 4 	9.780775959		0.000010138	8
0 0 0 5 0 5 	14.667889415		0.007071075	6
0 0 0 6 0 6 	20.535662415		0.007071075	7
0 0 0 1 1 1 	20.941206388		0.000010138	5
0 0 0 1 1 0 	20.953801135		0.000010138	5
0 0 0 2 1 2 	22.884665288		0.000010000	6
0 0 0 2 1 1 	22.922446930		0.000010000	6
0 0 0 3 1 3 	25.799797187		0.000010000	6
0 0 0 3 1 2 	25.875361737		0.000010000	7
0 0 0 7 0 7 	27.380988414		0.007071075	7
0 0 0 4 1 4 	29.686543187		0.000010138	6
0 0 0 4 1 3 	29.812471749		0.000010138	7
0 0 0 5 1 5 	34.544917501		0.000200257	9
0 0 0 5 1 4 	34.733784482		0.000200257	8
0 0 0 8 0 8 	35.206849507		0.003377885	6
0 0 0 6 1 6 	40.374598502		0.000200264	10
0 0 0 6 1 5 	40.638993498		0.000200264	9
0 0 0 9 0 9 	44.006558481		0.000283050	7
0 0 0 7 1 7 	47.175562492		0.000200271	15
0 0 0 7 1 6 	47.528056502		0.000200271	10
0 0 0 10 0 10 	53.782910257		0.000529253	12
0 0 0 8 1 8 	54.947642477		0.000283034	15
0 0 0 8 1 7 	55.400856644		0.000283034	10
0 0 0 9 1 9 	63.690610844		0.000346567	8
0 0 0 9 1 8 	64.256912945		0.000346567	10
0 0 0 11 0 11 	64.532919484		0.002059152	9
0 0 0 10 1 10 	73.404160053		0.000400135	13
0 0 0 10 1 9 	74.096677310		0.000400135	12
0 0 0 12 0 12 	76.265941620		0.000529255	9
0 0 0 2 2 1 	82.759460203		0.000010000	6
0 0 0 2 2 0 	82.759466242		0.000010000	6
0 0 0 11 1 11 	84.088743647		0.000490009	8
0 0 0 11 1 22 	84.088958248		0.000447335	1
0 0 0 11 1 10 	84.919034288		0.000447335	12
0 0 0 3 2 2 	85.692758785		0.000010000	7
